TEMPERATURE,WINDSPEED,ZENITH,DHI,DNI,POWER
11.9,3.4,65.33,52,936,57
14.1,3.7,61.67,56,964,54.9
15.3,3.8,58.65,58,986,53.8
16.6,3.9,56.39,58,1002,49.4
17.4,3.9,54.98,58,1010,47.2
18.3,4,54.47,60,1011,44.1
18.8,3.9,54.91,60,1009,50.1
19.4,3.9,56.27,60,1000,53.4
19.5,3.8,58.48,58,987,52.3
19.7,3.6,61.44,56,967,55.8
19.1,3,65.07,53,937,57.8
18.6,2.3,69.24,49,895,59.2
16.1,1.9,73.86,44,831,49
13.7,1.6,78.84,36,734,37.6
13.7,1.6,84.1,26,563,17.4
10.4,2,89.38,0,0,0
10,2.2,95.55,0,0,0
9.5,2.4,101.47,0,0,0
9.2,2.7,107.52,0,0,0
8.8,2.9,113.68,0,0,0
8.4,3,119.92,0,0,0
8,3.1,126.22,0,0,0
7.5,3,132.56,0,0,0
7.1,3,138.91,0,0,0
6.6,2.9,145.25,0,0,0
6.2,2.8,151.51,0,0,0
5.8,2.8,157.62,0,0,0
5.4,2.7,163.36,0,0,0
5.1,2.6,168.12,0,0,0
4.8,2.5,170.33,0,0,0
4.5,2.4,168.4,0,0,0
4.3,2.3,163.76,0,0,0
4.1,2.2,158.07,0,0,0
3.8,2.2,151.98,0,0,0
3.6,2.1,145.72,0,0,0
3.4,2,139.38,0,0,0
3.3,2,133.03,0,0,0
3.1,2,126.69,0,0,0
3,2,120.38,0,0,0
2.9,2,114.13,0,0,0
2.8,2,107.96,0,0,0
2.7,2,101.89,0,0,0
3.5,2.1,95.95,0,0,0
4.2,2.2,89.71,0,0,0
6.1,2.9,84.46,25,569,21.5
8,3.5,79.18,65,283,34.7
9.7,3.3,74.16,43,848,45.1
11.3,3.1,69.5,48,913,51.9
13.6,3.9,65.28,52,956,57.1
15.9,4.7,61.61,56,984,55
17.7,5.1,58.58,58,1005,51.2
19.5,5.5,56.3,59,1020,49
20.4,5.6,54.86,60,1027,50
21.4,5.7,54.35,61,1029,49.2
21.8,5.7,54.77,61,1027,49.1
22.2,5.8,56.12,62,1017,51.8
22.3,5.7,58.32,60,1004,50.8
22.4,5.6,61.29,58,984,52.9
21.6,4.7,64.91,55,955,54.9
20.9,3.8,69.08,52,910,58.5
18.2,3,73.7,47,847,48.5
15.6,2.2,78.69,40,745,39.3
15.6,2.2,83.95,28,574,18.6
12.3,2.3,89.25,0,0,0
11.9,2.4,95.39,0,0,0
11.4,2.5,101.32,0,0,0
11,2.6,107.37,0,0,0
10.6,2.7,113.53,0,0,0
10.3,2.7,119.78,0,0,0
10.1,2.8,126.08,0,0,0
9.9,2.8,132.42,0,0,0
9.7,2.8,138.77,0,0,0
9.6,2.9,145.1,0,0,0
9.4,3,151.37,0,0,0
9.3,3.1,157.47,0,0,0
9.2,3.2,163.2,0,0,0
